Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Healthy weight,Unnamed: 7,Unnamed: 8,Unnamed: 9,Overweight,Unnamed: 11,Unnamed: 12,Unnamed: 13,Obese,Unnamed: 15,Unnamed: 16,Unnamed: 17,Number of children measured,Unnamed: 19
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,
Code,Area,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Prevalence %,95% confidence interval ±,Reception,Year 6
,,,,,,,,,,,,,,,,,,,
00AB,Barking and Dagenham,1.207022677395757,0.40940112051442756,0.9765625,0.42599861834889186,71.14118507681053,1.698744522466052,59.765625,2.124288666856065,13.569861009509875,1.283951386380016,15.673828125,1.5749178394294734,14.081931236283834,1.3040722038894992,23.583984375,1.8390348264441407,2734,2048
00AC,Barnet,0.9827278141751041,0.3336910229909392,1.4794889038332213,0.43398010509497675,75.78916021441334,1.449041737056888,65.87088096839274,1.7043544204785062,12.656343061346039,1.124714321146653,15.131136516476126,1.2881326976751162,10.571768910065515,1.0401202967634617,17.518493611297913,1.3663982841601752,3358,2974
00AD,Bexley,0.5295315682281059,0.2871466945494885,0.869894099848714,0.3540262681384413,73.48268839103869,1.7464979340904636,62.67019667170953,1.84398714524222,14.5010183299389,1.3931264365094786,15.847201210287443,1.3922270828164944,11.486761710794298,1.2615769127969587,20.61270801815431,1.5422064994282458,2455,2644
00AE,Brent,2.5616394492475183,0.5541860979814349,1.9920318725099602,0.5212815863050626,74.54370797310278,1.5280399531608764,61.897863093082215,1.8117824337689163,11.399295549151457,1.1147801731239622,14.378848243390077,1.3090195503491033,11.495357028498239,1.1188603948439646,21.731256791017746,1.5386156728134603,3123,2761
00AF,Bromley,0.718525460793502,0.29263636406298565,1.2207882804325079,0.40203415628119493,78.63167760074975,1.4202247813944084,67.45727241018487,1.715344529330717,12.496094970321774,1.1457080849239207,14.091384722706662,1.2738115825062786,8.153701968134957,0.948159381693592,17.230554586675968,1.3825939387396982,3201,2867
00AG,Camden,1.0302197802197801,0.5188392696440396,0.9230769230769231,0.520054331229104,76.23626373626374,2.187030089510713,61.846153846153854,2.6416119818237065,11.401098901098901,1.633067434715426,15.076923076923077,1.9458651299671594,11.332417582417582,1.6287720667546444,22.153846153846153,2.258326149442164,1456,1300
00AH,Croydon,0.7934336525307797,0.287666531576022,0.9088060169225948,0.32931072650874404,74.5827633378933,1.411715623089859,62.42557192102789,1.6806613156808303,13.57045143638851,1.1104323088541692,14.60357254779066,1.225468512756537,11.053351573187415,1.016659692718664,22.062049514258852,1.4389647905971763,3655,3191
